epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2818,1.82227,3.87381,1.95149,0.45655,0.09327,0.0863,0.04767,2.0161,3.46862,2.34648,0.000254636,0.000254636,0.000254636
2,92.3534,1.77573,3.29595,1.92798,0.17029,0.29322,0.16889,0.08772,2.06087,2.91107,2.28167,0.000485676,0.000485676,0.000485676
3,136.693,1.75409,3.05355,1.92014,0.45194,0.27596,0.19367,0.09879,1.94382,3.15616,2.30992,0.000691339,0.000691339,0.000691339
4,181.567,1.73264,2.91273,1.90914,0.22476,0.25203,0.16186,0.08724,1.95264,3.08479,2.25849,0.000654804,0.000654804,0.000654804
5,225.213,1.68878,2.74229,1.87636,0.46438,0.29086,0.24317,0.1358,1.84511,2.55285,2.08246,0.000616738,0.000616738,0.000616738
6,268.356,1.62807,2.60089,1.83861,0.28777,0.30102,0.26074,0.13862,1.87903,2.5316,2.13008,0.000578672,0.000578672,0.000578672
7,312.692,1.60391,2.51413,1.81421,0.40073,0.3205,0.31367,0.17704,1.73672,2.33107,2.03469,0.000540607,0.000540607,0.000540607
8,356.242,1.5809,2.43749,1.79223,0.34917,0.36568,0.31301,0.17285,1.8002,2.3195,2.06188,0.000502541,0.000502541,0.000502541
9,400.593,1.56048,2.35621,1.76155,0.34153,0.42398,0.33146,0.18448,1.74088,2.31541,2.005,0.000464476,0.000464476,0.000464476
10,445.177,1.50713,2.27071,1.72688,0.3769,0.45538,0.36819,0.20976,1.69311,2.19915,1.96408,0.000426411,0.000426411,0.000426411
11,488.423,1.57422,2.23035,1.87212,0.44226,0.43328,0.40992,0.2289,1.67478,2.16711,1.96961,0.000388345,0.000388345,0.000388345
12,530.316,1.51393,2.08469,1.82874,0.4163,0.46307,0.41647,0.23585,1.64593,2.15008,1.94638,0.00035028,0.00035028,0.00035028
13,573.699,1.45756,1.97285,1.77357,0.44956,0.49159,0.41183,0.23616,1.67717,2.11212,1.94657,0.000312214,0.000312214,0.000312214
14,617.01,1.43999,1.88221,1.75956,0.43261,0.4818,0.41989,0.24788,1.67916,2.08277,1.9603,0.000274148,0.000274148,0.000274148
15,658.907,1.39394,1.80527,1.72747,0.4936,0.45952,0.42032,0.24671,1.62803,2.02882,1.87758,0.000236083,0.000236083,0.000236083
16,701.392,1.34562,1.74053,1.68045,0.52626,0.48704,0.45588,0.27098,1.61524,1.98083,1.8891,0.000198018,0.000198018,0.000198018
17,743.824,1.32496,1.65298,1.65362,0.55844,0.47943,0.4731,0.2787,1.58503,1.93773,1.87559,0.000159952,0.000159952,0.000159952
18,785.387,1.28809,1.58534,1.62549,0.53564,0.50187,0.46479,0.27087,1.63702,1.9622,1.91833,0.000121887,0.000121887,0.000121887
19,827.227,1.25316,1.51872,1.59069,0.55708,0.47609,0.46615,0.27665,1.61928,1.92549,1.8902,8.3821e-05,8.3821e-05,8.3821e-05
20,870.228,1.23145,1.50153,1.58173,0.53884,0.49237,0.47245,0.27886,1.62604,1.8886,1.90759,4.57555e-05,4.57555e-05,4.57555e-05
